Country,Survival_to_65_female,Survival_to_65_male,Pop_0_14,Pop_15_64,Pop_65_up
Mali,51.96915,51.64093,46.7983055115,50.3021583557,2.8995361328
Malta,92.30769,85.83442,15.6237487793,69.8875579834,14.4886960983
Mauritania,65.54282,58.73493,40.5559082031,56.3045043945,3.1395902634
Mauritius,83.0905,69.25359,21.1580944061,71.1075134277,7.734392643
Mexico,86.35889,78.40472,30.0446815491,63.9725723267,5.9827475548
Micronesia,73.83078,69.57156,36.8996047974,59.2545776367,3.8458197117
Moldova,75.95659,56.93906,16.6704730988,72.1729278564,11.1565999985
Mongolia,75.19586,56.05037,26.9532470703,69.232673645,3.8140799999
Montenegro,85.21918,75.05785,19.4651317596,68.0715942383,12.4632711411
Morocco,78.42197,71.00713,28.1241035461,66.8569946289,5.0189051628
Mozambique,40.35155,36.31797,45.3440589905,51.4220809937,3.2338609695
Myanmar,69.11485,60.58984,26.0713348389,68.8354949951,5.0931682587
Namibia,63.39529,51.85695,37.6797828674,58.8712005615,3.4490196705
Nepal,71.90147,66.71614,37.1077690125,57.9700012207,4.9222273827
Netherlands,90.95971,87.61063,17.5023498535,67.0553512573,15.4422960281
New Caledonia,88.49134,79.47039,23.5222969055,66.9687728882,9.5089273453
New Zealand,90.86303,86.65368,20.4891738892,66.5050048828,13.0058221817
Nicaragua,81.52171,71.1,34.5068855286,60.9176864624,4.5754284859
Niger,56.64699,54.7488,49.8253517151,47.5920791626,2.5825693607
Nigeria,45.39277,42.42255,44.0225791931,53.2488021851,2.7286190987
Norway,91.80781,87.4977,18.8030433655,66.1853561401,15.0115995407
Oman,86.20023,80.26948,27.4045162201,70.0860748291,2.5094120502
Pakistan,70.53931,66.62289,35.4383850098,60.2393379211,4.3222770691
Panama,86.11165,76.8513,29.317522049,63.9162368774,6.7662410736
Papua New Guinea,61.45185,50.99031,39.0564308167,58.1657524109,2.7778179646
Paraguay,78.566,71.96214,33.5403022766,61.290851593,5.1688456535
Peru,83.14268,74.30184,29.993927002,64.0118255615,5.9942493439
Philippines,76.30635,60.28885,35.2835235596,61.0009613037,3.7155172825
Poland,88.82613,71.43142,15.0091724396,71.4637756348,13.527053833
Portugal,92.0289,82.6673,15.1489095688,66.8363265991,18.0147628784
Puerto Rico,89.69882,77.39413,20.4689846039,66.5333099365,12.9977025986
Qatar,88.15466,88.39542,13.7297945023,85.1696243286,1.1005804539
Romania,85.21722,68.45267,15.0139446259,70.1495285034,14.836523056
Russian Federation,78.50718,48.03581,14.9207572937,71.9787139893,13.1005306244
Rwanda,63.85662,58.12582,44.6905021667,53.0211982727,2.2883005142
Samoa,82.03648,70.50812,38.2752151489,56.6734237671,5.0513629913
Sao Tome and Principe,71.3412,64.12858,41.5798873901,54.8045196533,3.6155934334
Saudi Arabia,86.31613,81.19349,30.7232990265,66.3023223877,2.9743762016
Senegal,66.84106,59.78576,43.635219574,53.2719421387,3.0928382874
Serbia,85.11498,73.08195,16.8699760437,69.3904266357,13.7395982742
Seychelles,85.17419,64.18336,22.3105430603,70.0947265625,7.5947284698
Sierra Leone,35.53249,33.83519,42.1557388306,55.2770729065,2.5671873093
Singapore,92.80077,87.48807,17.3422985077,73.646522522,9.0111789703
Slovak Republic,87.97415,71.50098,15.1270551682,72.5656890869,12.3072557449
Slovenia,91.4403,80.70809,14.0131692886,69.3265380859,16.6602897644
Solomon Islands,72.08863,65.90489,40.7541503906,55.953212738,3.2926392555
Somalia,52.41492,46.03206,47.6927108765,49.4851531982,2.822136879
South Africa,44.64391,37.13524,29.7112236023,65.0632629395,5.2255105972
South Sudan,49.43792,45.53333,42.8364372253,53.7574691772,3.4060900211
Spain,94.06924,85.63105,14.9269962311,67.9689865112,17.104019165
Sri Lanka,86.13825,71.31271,25.122133255,67.1108627319,7.7670030594
St. Lucia,81.80582,72.84425,25.2540912628,66.271697998,8.4742136002
St. Vincent and the Grenadines,79.05224,72.30925,26.5075569153,66.7560119629,6.7364339828
Sudan,64.18824,56.7315,42.0521430969,54.8043060303,3.1435513496
Suriname,78.85199,65.73495,28.6370391846,64.9188537598,6.4441099167
Swaziland,33.63556,32.91864,38.8411178589,57.8186454773,3.3402395248
Sweden,92.35921,88.31196,16.5072154999,65.2895736694,18.203207016
Switzerland,92.95744,87.93658,15.0545797348,68.0380706787,16.9073524475
Syrian Arab Republic,86.67937,77.90942,35.7342224121,60.5361251831,3.7296528816
